date,event_count,total_severity,avg_severity,max_severity,total_impact,avg_impact,max_impact,total_price_impact,avg_price_impact,reliability,sanctions_count,sanctions_severity,sanctions_impact,production_policy_count,production_policy_severity,production_policy_impact,military_conflict_count,military_conflict_severity,military_conflict_impact,infrastructure_count,infrastructure_severity,infrastructure_impact,geopolitical_tension_count,geopolitical_tension_severity,geopolitical_tension_impact,inventory_report_count,inventory_report_severity,inventory_report_impact,trade_flow_disruption_count,trade_flow_disruption_severity,trade_flow_disruption_impact,day_of_week,is_weekend,day_of_month,month,quarter,event_count_3d_avg,event_count_3d_std,total_severity_3d_avg,total_severity_3d_std,total_impact_3d_avg,total_impact_3d_std,total_price_impact_3d_avg,total_price_impact_3d_std,event_count_7d_avg,event_count_7d_std,total_severity_7d_avg,total_severity_7d_std,total_impact_7d_avg,total_impact_7d_std,total_price_impact_7d_avg,total_price_impact_7d_std,event_count_14d_avg,event_count_14d_std,total_severity_14d_avg,total_severity_14d_std,total_impact_14d_avg,total_impact_14d_std,total_price_impact_14d_avg,total_price_impact_14d_std,event_count_30d_avg,event_count_30d_std,total_severity_30d_avg,total_severity_30d_std,total_impact_30d_avg,total_impact_30d_std,total_price_impact_30d_avg,total_price_impact_30d_std,events_3d_sum,events_7d_sum,cluster_intensity,severity_momentum,impact_acceleration
2020-01-08,1.0,2.0,2.0,2.0,0.34,0.34,0.34,26.0,26.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.34,0.0,0.0,0.0,2,0,8,1,1,1.0,0.0,2.0,0.0,0.34,0.0,26.0,0.0,1.0,0.0,2.0,0.0,0.34,0.0,26.0,0.0,1.0,0.0,2.0,0.0,0.34,0.0,26.0,0.0,1.0,0.0,2.0,0.0,0.34,0.0,26.0,0.0,1.0,1.0,0.5,0.0,0.0
2020-01-09,2.0,5.0,2.5,3.0,0.6859999999999999,0.34299999999999997,0.423,111.60000000000001,55.800000000000004,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.423,1.0,2.0,0.263,0.0,0.0,0.0,3,0,9,1,1,1.5,0.7071067811865476,3.5,2.1213203435596424,0.513,0.24465894629054535,68.80000000000001,60.52834046956847,1.5,0.7071067811865476,3.5,2.1213203435596424,0.513,0.24465894629054535,68.80000000000001,60.52834046956847,1.5,0.7071067811865476,3.5,2.1213203435596424,0.513,0.24465894629054535,68.80000000000001,60.52834046956847,1.5,0.7071067811865476,3.5,2.1213203435596424,0.513,0.24465894629054535,68.80000000000001,60.52834046956847,3.0,3.0,0.75,3.0,0.0
2020-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,10,1,1,1.0,1.0,2.3333333333333335,2.516611478423583,0.342,0.34300437314996435,45.866666666666674,58.39223692695232,1.0,1.0,2.3333333333333335,2.516611478423583,0.342,0.34300437314996435,45.866666666666674,58.39223692695232,1.0,1.0,2.3333333333333335,2.516611478423583,0.342,0.34300437314996435,45.866666666666674,58.39223692695232,1.0,1.0,2.3333333333333335,2.516611478423583,0.342,0.34300437314996435,45.866666666666674,58.39223692695232,3.0,3.0,0.75,-5.0,-1.0319999999999998
2020-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,11,1,1,0.6666666666666666,1.1547005383792517,1.6666666666666667,2.8867513459481287,0.22866666666666666,0.3960622846640832,37.2,64.43229004156224,0.75,0.9574271077563381,1.75,2.362907813126304,0.2565,0.3281397060196566,34.400000000000006,52.90595429627936,0.75,0.9574271077563381,1.75,2.362907813126304,0.2565,0.3281397060196566,34.400000000000006,52.90595429627936,0.75,0.9574271077563381,1.75,2.362907813126304,0.2565,0.3281397060196566,34.400000000000006,52.90595429627936,2.0,3.0,0.5,0.0,0.6859999999999999
2020-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,12,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8944271909999159,1.4,2.1908902300206643,0.2052,0.30645586957994453,27.520000000000003,48.331687328294265,0.6,0.8944271909999159,1.4,2.1908902300206643,0.2052,0.30645586957994453,27.520000000000003,48.331687328294265,0.6,0.8944271909999159,1.4,2.1908902300206643,0.2052,0.30645586957994453,27.520000000000003,48.331687328294265,0.0,3.0,0.0,0.0,0.0
2020-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,13,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.8366600265340756,1.1666666666666667,2.0412414523193148,0.171,0.2866182129593302,22.933333333333337,44.665273610117595,0.5,0.8366600265340756,1.1666666666666667,2.0412414523193148,0.171,0.2866182129593302,22.933333333333337,44.665273610117595,0.5,0.8366600265340756,1.1666666666666667,2.0412414523193148,0.171,0.2866182129593302,22.933333333333337,44.665273610117595,0.0,3.0,0.0,0.0,0.0
2020-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,14,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.7867957924694432,1.0,1.9148542155126762,0.14657142857142857,0.26950996094322566,19.657142857142862,41.68480367163623,0.42857142857142855,0.7867957924694432,1.0,1.9148542155126762,0.14657142857142857,0.26950996094322566,19.657142857142862,41.68480367163623,0.42857142857142855,0.7867957924694432,1.0,1.9148542155126762,0.14657142857142857,0.26950996094322566,19.657142857142862,41.68480367163623,0.0,3.0,0.0,0.0,0.0
2020-01-15,1.0,4.0,4.0,4.0,0.578,0.578,0.578,38.0,38.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.578,2,0,15,1,1,0.3333333333333333,0.5773502691896258,1.3333333333333333,2.3094010767585034,0.19266666666666665,0.33370845559160367,12.666666666666666,21.93931022920578,0.42857142857142855,0.7867957924694432,1.2857142857142858,2.214669705568283,0.18057142857142855,0.30995637173794693,21.371428571428574,42.23228284482991,0.5,0.7559289460184544,1.375,2.065879266282796,0.2005,0.2924473090514402,21.950000000000003,39.13372677663823,0.5,0.7559289460184544,1.375,2.065879266282796,0.2005,0.2924473090514402,21.950000000000003,39.13372677663823,1.0,3.0,0.25,4.0,0.578
2020-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,16,1,1,0.3333333333333333,0.5773502691896258,1.3333333333333333,2.3094010767585034,0.19266666666666665,0.33370845559160367,12.666666666666666,21.93931022920578,0.14285714285714285,0.37796447300922725,0.5714285714285714,1.5118578920369088,0.08257142857142856,0.2184634653993333,5.428571428571429,14.36264997435065,0.4444444444444444,0.7264831572567789,1.2222222222222223,1.986062547968831,0.17822222222222223,0.28160512148120537,19.511111111111113,37.33029749561489,0.4444444444444444,0.7264831572567789,1.2222222222222223,1.986062547968831,0.17822222222222223,0.28160512148120537,19.511111111111113,37.33029749561489,1.0,1.0,0.5,-4.0,-1.156
2020-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,17,1,1,0.3333333333333333,0.5773502691896258,1.3333333333333333,2.3094010767585034,0.19266666666666665,0.33370845559160367,12.666666666666666,21.93931022920578,0.14285714285714285,0.37796447300922725,0.5714285714285714,1.5118578920369088,0.08257142857142856,0.2184634653993333,5.428571428571429,14.36264997435065,0.4,0.6992058987801011,1.1,1.911950719959998,0.16040000000000001,0.2714157123102656,17.560000000000002,35.732064654095275,0.4,0.6992058987801011,1.1,1.911950719959998,0.16040000000000001,0.2714157123102656,17.560000000000002,35.732064654095275,1.0,1.0,0.5,0.0,0.578
