date,country,demand_kbpd,year,month,day
2020-01-04,AGO,292.0,2020,1,4
2020-01-05,AGO,279.2,2020,1,5
2020-01-06,AGO,294.4,2020,1,6
2020-01-07,AGO,297.8,2020,1,7
2020-01-08,AGO,318.2,2020,1,8
2020-01-09,AGO,291.3,2020,1,9
2020-01-10,AGO,290.5,2020,1,10
2020-01-11,AGO,265.8,2020,1,11
2020-01-12,AGO,277.3,2020,1,12
2020-01-13,AGO,274.9,2020,1,13
2020-01-14,AGO,291.4,2020,1,14
2020-01-15,AGO,281.1,2020,1,15
2020-01-16,AGO,297.5,2020,1,16
2020-01-17,AGO,312.8,2020,1,17
2020-01-18,AGO,276.4,2020,1,18
2020-01-19,AGO,271.3,2020,1,19
2020-01-20,AGO,289.6,2020,1,20
2020-01-21,AGO,292.9,2020,1,21
2020-01-22,AGO,280.5,2020,1,22
2020-01-23,AGO,293.7,2020,1,23
2020-01-24,AGO,295.2,2020,1,24
2020-01-25,AGO,299.9,2020,1,25
2020-01-26,AGO,264.7,2020,1,26
2020-01-27,AGO,281.0,2020,1,27
2020-01-28,AGO,274.9,2020,1,28
2020-01-29,AGO,266.4,2020,1,29
2020-01-30,AGO,298.9,2020,1,30
2020-01-31,AGO,276.6,2020,1,31
2020-02-01,AGO,274.5,2020,2,1
2020-02-02,AGO,268.9,2020,2,2
2020-02-03,AGO,299.3,2020,2,3
2020-02-04,AGO,298.6,2020,2,4
2020-02-05,AGO,296.5,2020,2,5
2020-02-06,AGO,284.1,2020,2,6
2020-02-07,AGO,289.8,2020,2,7
2020-02-08,AGO,279.1,2020,2,8
2020-02-09,AGO,277.1,2020,2,9
2020-02-10,AGO,288.7,2020,2,10
2020-02-11,AGO,283.7,2020,2,11
2020-02-12,AGO,296.0,2020,2,12
2020-02-13,AGO,307.3,2020,2,13
2020-02-14,AGO,276.8,2020,2,14
2020-02-15,AGO,275.3,2020,2,15
2020-02-16,AGO,272.6,2020,2,16
2020-02-17,AGO,277.1,2020,2,17
2020-02-18,AGO,283.9,2020,2,18
2020-02-19,AGO,284.6,2020,2,19
2020-02-20,AGO,289.1,2020,2,20
2020-02-21,AGO,289.4,2020,2,21
2020-02-22,AGO,290.1,2020,2,22
2020-02-23,AGO,273.2,2020,2,23
2020-02-24,AGO,293.4,2020,2,24
2020-02-25,AGO,264.4,2020,2,25
2020-02-26,AGO,283.7,2020,2,26
2020-02-27,AGO,296.6,2020,2,27
2020-02-28,AGO,263.2,2020,2,28
2020-02-29,AGO,274.9,2020,2,29
2020-03-01,AGO,282.8,2020,3,1
2020-03-02,AGO,286.0,2020,3,2
2020-03-03,AGO,277.4,2020,3,3
2020-03-04,AGO,291.1,2020,3,4
2020-03-05,AGO,266.6,2020,3,5
2020-03-06,AGO,293.3,2020,3,6
2020-03-07,AGO,283.1,2020,3,7
2020-03-08,AGO,285.9,2020,3,8
2020-03-09,AGO,279.8,2020,3,9
2020-03-10,AGO,286.8,2020,3,10
2020-03-11,AGO,277.9,2020,3,11
2020-03-12,AGO,260.0,2020,3,12
2020-03-13,AGO,271.3,2020,3,13
2020-03-14,AGO,282.5,2020,3,14
2020-03-15,AGO,272.5,2020,3,15
2020-03-16,AGO,262.7,2020,3,16
2020-03-17,AGO,286.3,2020,3,17
2020-03-18,AGO,281.9,2020,3,18
2020-03-19,AGO,271.9,2020,3,19
2020-03-20,AGO,278.9,2020,3,20
2020-03-21,AGO,271.4,2020,3,21
2020-03-22,AGO,287.3,2020,3,22
2020-03-23,AGO,262.0,2020,3,23
2020-03-24,AGO,276.4,2020,3,24
