date,route_code,route_name,vessel_type,rate_per_barrel,currency
2020-01-04,TC1,UK Continent to US Atlantic,VLCC,12.449,USD
2020-01-05,TC1,UK Continent to US Atlantic,VLCC,12.577,USD
2020-01-06,TC1,UK Continent to US Atlantic,VLCC,12.595,USD
2020-01-07,TC1,UK Continent to US Atlantic,VLCC,12.644,USD
2020-01-08,TC1,UK Continent to US Atlantic,VLCC,12.615,USD
2020-01-09,TC1,UK Continent to US Atlantic,VLCC,12.65,USD
2020-01-10,TC1,UK Continent to US Atlantic,VLCC,12.898,USD
2020-01-11,TC1,UK Continent to US Atlantic,VLCC,13.026,USD
2020-01-12,TC1,UK Continent to US Atlantic,VLCC,13.163,USD
2020-01-13,TC1,UK Continent to US Atlantic,VLCC,13.302,USD
2020-01-14,TC1,UK Continent to US Atlantic,VLCC,13.281,USD
2020-01-15,TC1,UK Continent to US Atlantic,VLCC,13.345,USD
2020-01-16,TC1,UK Continent to US Atlantic,VLCC,13.155,USD
2020-01-17,TC1,UK Continent to US Atlantic,VLCC,13.391,USD
2020-01-18,TC1,UK Continent to US Atlantic,VLCC,12.893,USD
2020-01-19,TC1,UK Continent to US Atlantic,VLCC,12.887,USD
2020-01-20,TC1,UK Continent to US Atlantic,VLCC,13.103,USD
2020-01-21,TC1,UK Continent to US Atlantic,VLCC,12.864,USD
2020-01-22,TC1,UK Continent to US Atlantic,VLCC,12.945,USD
2020-01-23,TC1,UK Continent to US Atlantic,VLCC,12.83,USD
2020-01-24,TC1,UK Continent to US Atlantic,VLCC,12.773,USD
2020-01-25,TC1,UK Continent to US Atlantic,VLCC,12.953,USD
2020-01-26,TC1,UK Continent to US Atlantic,VLCC,12.996,USD
2020-01-27,TC1,UK Continent to US Atlantic,VLCC,12.635,USD
2020-01-28,TC1,UK Continent to US Atlantic,VLCC,12.469,USD
2020-01-29,TC1,UK Continent to US Atlantic,VLCC,12.656,USD
2020-01-30,TC1,UK Continent to US Atlantic,VLCC,12.747,USD
2020-01-31,TC1,UK Continent to US Atlantic,VLCC,13.071,USD
2020-02-01,TC1,UK Continent to US Atlantic,VLCC,13.379,USD
2020-02-02,TC1,UK Continent to US Atlantic,VLCC,13.318,USD
2020-02-03,TC1,UK Continent to US Atlantic,VLCC,13.772,USD
2020-02-04,TC1,UK Continent to US Atlantic,VLCC,13.773,USD
2020-02-05,TC1,UK Continent to US Atlantic,VLCC,13.595,USD
2020-02-06,TC1,UK Continent to US Atlantic,VLCC,13.478,USD
2020-02-07,TC1,UK Continent to US Atlantic,VLCC,13.068,USD
2020-02-08,TC1,UK Continent to US Atlantic,VLCC,13.361,USD
2020-02-09,TC1,UK Continent to US Atlantic,VLCC,13.648,USD
2020-02-10,TC1,UK Continent to US Atlantic,VLCC,13.46,USD
2020-02-11,TC1,UK Continent to US Atlantic,VLCC,13.416,USD
2020-02-12,TC1,UK Continent to US Atlantic,VLCC,13.43,USD
2020-02-13,TC1,UK Continent to US Atlantic,VLCC,13.253,USD
2020-02-14,TC1,UK Continent to US Atlantic,VLCC,12.934,USD
2020-02-15,TC1,UK Continent to US Atlantic,VLCC,12.897,USD
2020-02-16,TC1,UK Continent to US Atlantic,VLCC,12.84,USD
2020-02-17,TC1,UK Continent to US Atlantic,VLCC,12.77,USD
2020-02-18,TC1,UK Continent to US Atlantic,VLCC,12.812,USD
2020-02-19,TC1,UK Continent to US Atlantic,VLCC,13.071,USD
2020-02-20,TC1,UK Continent to US Atlantic,VLCC,13.013,USD
2020-02-21,TC1,UK Continent to US Atlantic,VLCC,13.042,USD
2020-02-22,TC1,UK Continent to US Atlantic,VLCC,13.17,USD
2020-02-23,TC1,UK Continent to US Atlantic,VLCC,13.265,USD
2020-02-24,TC1,UK Continent to US Atlantic,VLCC,13.148,USD
2020-02-25,TC1,UK Continent to US Atlantic,VLCC,13.16,USD
2020-02-26,TC1,UK Continent to US Atlantic,VLCC,13.253,USD
2020-02-27,TC1,UK Continent to US Atlantic,VLCC,13.042,USD
2020-02-28,TC1,UK Continent to US Atlantic,VLCC,13.265,USD
2020-02-29,TC1,UK Continent to US Atlantic,VLCC,13.515,USD
2020-03-01,TC1,UK Continent to US Atlantic,VLCC,13.373,USD
2020-03-02,TC1,UK Continent to US Atlantic,VLCC,13.398,USD
2020-03-03,TC1,UK Continent to US Atlantic,VLCC,13.503,USD
2020-03-04,TC1,UK Continent to US Atlantic,VLCC,13.392,USD
2020-03-05,TC1,UK Continent to US Atlantic,VLCC,13.467,USD
