origin,dest,volume,cost,distance
CHN,SAU,1706.1,4.36,3106
CHN,RUS,2270.3,5.14,3921
CHN,USA,325.9,0.71,287
CHN,IRQ,1111.8,2.37,1930
CHN,CAN,226.0,1.42,491
CHN,ARE,815.8,1.63,1955
CHN,KWT,487.1,1.28,561
CHN,NGA,252.4,0.53,534
CHN,KAZ,102.2,0.5,175
CHN,VEN,109.5,0.5,657
CHN,AGO,401.7,1.0,826
CHN,DZA,109.7,0.69,184
CHN,OMN,102.2,0.5,100
CHN,QAT,90.3,1.12,100
CHN,MEX,106.2,0.52,264
CHN,NOR,94.6,0.5,655
CHN,BRA,416.0,1.33,1342
CHN,IRN,607.5,1.61,1361
CHN,LBY,103.3,0.52,100
CHN,GAB,94.2,0.76,176
CHN,ECU,109.4,0.99,100
CHN,COL,97.9,1.12,562
CHN,MYS,108.4,0.5,426
CHN,IDN,100.4,1.16,424
IND,SAU,928.8,2.13,1452
IND,RUS,1882.1,4.73,3387
IND,USA,252.1,0.65,100
IND,IRQ,979.7,1.98,2120
IND,CAN,105.4,0.5,171
IND,ARE,406.3,1.01,791
IND,KWT,292.8,1.36,832
IND,NGA,379.8,1.41,227
IND,KAZ,107.3,0.84,629
IND,VEN,137.9,0.65,373
IND,AGO,96.5,0.92,571
IND,DZA,95.5,0.75,438
IND,OMN,92.4,0.9,468
IND,QAT,104.4,0.5,100
IND,MEX,99.9,0.72,100
IND,NOR,92.2,0.62,390
IND,BRA,90.6,0.82,263
IND,IRN,101.3,0.9,184
IND,LBY,95.0,0.6,100
IND,GAB,94.1,1.13,538
IND,ECU,95.8,0.5,277
IND,COL,102.5,0.5,345
IND,MYS,99.1,0.5,100
IND,IDN,107.9,0.76,205
USA,SAU,416.0,1.19,589
USA,RUS,92.2,0.5,657
USA,IRQ,225.0,0.8,258
USA,CAN,3425.3,7.36,7748
USA,ARE,99.7,0.89,100
USA,KWT,96.8,1.14,100
USA,NGA,94.4,0.75,391
USA,KAZ,97.3,1.17,263
USA,VEN,94.9,0.89,100
USA,AGO,96.0,0.5,100
USA,DZA,95.3,1.17,100
USA,OMN,91.0,0.5,100
USA,QAT,102.7,0.89,100
USA,MEX,648.6,2.28,1215
USA,NOR,101.9,0.5,100
USA,BRA,94.8,0.92,100
USA,IRN,99.4,1.18,681
USA,LBY,100.7,0.5,308
USA,GAB,93.0,0.69,163
USA,ECU,90.8,0.77,654
USA,COL,94.4,0.9,210
USA,MYS,94.5,0.83,519
USA,IDN,108.8,0.62,250
JPN,SAU,1250.4,2.64,2787
JPN,RUS,261.8,0.73,414
JPN,USA,107.5,0.5,463
JPN,IRQ,168.3,1.32,431
JPN,CAN,95.2,1.19,100
JPN,ARE,917.5,2.74,1208
JPN,KWT,334.5,1.37,407
JPN,NGA,107.9,1.1,100
JPN,KAZ,107.8,1.07,324
JPN,VEN,93.2,1.08,551
JPN,AGO,101.6,0.58,172
JPN,DZA,103.3,0.5,595
JPN,OMN,96.1,0.68,100
JPN,QAT,329.7,0.88,300
JPN,MEX,90.4,0.67,515
JPN,NOR,104.9,0.86,100
JPN,BRA,104.4,0.52,387
JPN,IRN,91.9,0.55,100
JPN,LBY,95.0,0.78,100
JPN,GAB,97.9,1.09,100
JPN,ECU,98.7,0.55,308
JPN,COL,101.5,0.7,152
JPN,MYS,94.6,0.69,215
JPN,IDN,90.5,0.83,100
KOR,SAU,1044.0,2.56,1445
KOR,RUS,216.6,0.8,644
KOR,USA,272.7,0.88,301
KOR,IRQ,382.7,1.73,1192
KOR,CAN,91.5,0.5,627
KOR,ARE,481.6,1.28,527
KOR,KWT,370.3,1.14,825
KOR,NGA,103.9,0.78,491
KOR,KAZ,94.2,0.86,362
KOR,VEN,92.8,0.7,100
KOR,AGO,96.5,1.04,100
KOR,DZA,104.0,0.57,176
KOR,OMN,95.9,0.61,517
KOR,QAT,107.3,1.13,205
KOR,MEX,90.1,0.81,100
KOR,NOR,103.0,0.91,100
KOR,BRA,91.0,1.07,100
KOR,IRN,97.5,0.5,426
KOR,LBY,103.4,0.53,397
KOR,GAB,100.9,0.5,100
KOR,ECU,107.2,0.5,381
KOR,COL,106.5,0.57,143
KOR,MYS,96.5,1.02,271
KOR,IDN,94.3,0.81,100
DEU,SAU,106.8,0.5,100
DEU,RUS,151.2,0.94,619
DEU,USA,278.0,1.53,205
DEU,IRQ,96.5,0.99,530
DEU,CAN,98.7,0.94,100
DEU,ARE,90.5,1.14,490
DEU,KWT,98.6,0.89,340
DEU,NGA,186.9,0.53,701
DEU,KAZ,170.6,0.5,460
DEU,VEN,103.2,0.5,100
DEU,AGO,100.3,0.86,280
DEU,DZA,102.2,0.62,100
DEU,OMN,101.3,0.5,100
DEU,QAT,90.3,0.5,100
DEU,MEX,91.9,0.5,657
DEU,NOR,364.3,1.2,417
DEU,BRA,105.3,1.02,311
DEU,IRN,93.5,0.62,100
DEU,LBY,91.0,1.13,100
DEU,GAB,90.9,0.56,461
DEU,ECU,108.7,0.72,100
DEU,COL,103.7,0.82,100
DEU,MYS,102.8,0.5,595
DEU,IDN,102.7,1.01,607
NLD,SAU,97.8,0.84,628
NLD,RUS,212.4,1.25,167
NLD,USA,244.3,1.45,841
NLD,IRQ,94.1,0.5,100
NLD,CAN,92.0,0.5,198
NLD,ARE,102.4,0.54,100
NLD,KWT,96.4,1.04,301
NLD,NGA,213.0,0.69,842
NLD,KAZ,92.4,0.88,192
NLD,VEN,108.7,0.5,428
NLD,AGO,106.1,0.5,100
NLD,DZA,98.5,0.77,438
NLD,OMN,109.8,0.63,677
NLD,QAT,95.0,0.77,362
NLD,MEX,108.6,1.08,100
NLD,NOR,290.1,1.32,926
NLD,BRA,92.1,1.09,100
NLD,IRN,99.9,0.59,100
NLD,LBY,107.9,0.61,100
NLD,GAB,109.2,1.07,100
NLD,ECU,96.4,1.14,100
NLD,COL,99.7,0.69,100
NLD,MYS,99.0,0.5,100
NLD,IDN,101.1,0.5,264
SGP,SAU,211.7,1.21,100
SGP,RUS,162.9,1.3,197
SGP,USA,101.0,0.64,100
SGP,IRQ,100.9,0.91,450
SGP,CAN,92.9,0.95,191
SGP,ARE,107.3,1.05,100
SGP,KWT,104.0,0.5,645
SGP,NGA,107.8,0.5,100
SGP,KAZ,91.7,1.17,195
SGP,VEN,107.3,1.09,356
SGP,AGO,108.9,1.2,100
SGP,DZA,97.0,0.9,486
SGP,OMN,105.5,0.77,100
SGP,QAT,95.0,0.52,100
SGP,MEX,99.9,0.5,100
SGP,NOR,101.4,0.94,155
SGP,BRA,92.4,0.83,100
SGP,IRN,103.6,0.5,204
SGP,LBY,97.5,0.5,523
SGP,GAB,100.6,0.64,100
SGP,ECU,90.2,1.15,528
SGP,COL,96.5,0.5,100
SGP,MYS,109.9,0.5,100
SGP,IDN,103.9,0.5,100
ESP,SAU,102.6,0.9,114
ESP,RUS,109.9,0.92,100
ESP,USA,108.0,0.5,100
ESP,IRQ,109.2,0.5,100
ESP,CAN,99.1,0.82,100
ESP,ARE,93.4,0.83,347
ESP,KWT,97.1,0.78,431
ESP,NGA,97.2,0.5,622
ESP,KAZ,104.0,0.74,628
ESP,VEN,98.2,0.8,451
ESP,AGO,93.3,1.1,100
ESP,DZA,108.8,0.63,408
ESP,OMN,102.3,0.62,523
ESP,QAT,107.5,0.77,100
ESP,MEX,90.5,0.56,100
ESP,NOR,99.6,1.18,478
ESP,BRA,101.9,0.58,553
ESP,IRN,106.6,0.78,628
ESP,LBY,99.4,0.61,100
ESP,GAB,90.3,0.5,175
ESP,ECU,106.3,1.21,569
ESP,COL,108.3,0.8,264
ESP,MYS,108.9,1.07,100
ESP,IDN,94.8,0.5,100
FRA,SAU,109.1,0.82,145
FRA,RUS,107.6,0.97,100
FRA,USA,97.2,0.5,100
FRA,IRQ,100.0,0.68,470
FRA,CAN,100.4,1.05,100
FRA,ARE,109.4,0.5,462
FRA,KWT,98.1,0.5,100
FRA,NGA,98.4,0.98,609
FRA,KAZ,104.1,0.5,121
FRA,VEN,102.3,1.19,100
FRA,AGO,101.8,0.6,558
FRA,DZA,91.8,0.91,100
FRA,OMN,100.3,0.98,241
FRA,QAT,102.4,1.07,100
FRA,MEX,105.9,0.67,100
FRA,NOR,99.8,0.5,683
FRA,BRA,90.9,0.8,149
FRA,IRN,96.6,0.83,451
FRA,LBY,96.8,0.73,362
FRA,GAB,92.6,0.5,100
FRA,ECU,104.0,0.5,599
FRA,COL,96.9,1.09,100
FRA,MYS,100.3,1.17,100
FRA,IDN,93.8,0.5,100
ITA,SAU,96.9,0.54,233
ITA,RUS,91.8,0.5,100
ITA,USA,97.1,1.09,644
ITA,IRQ,100.1,0.89,100
ITA,CAN,91.8,0.66,100
ITA,ARE,91.6,1.06,530
ITA,KWT,97.5,0.5,503
ITA,NGA,106.1,0.96,100
ITA,KAZ,109.7,0.76,100
ITA,VEN,99.7,0.82,682
ITA,AGO,100.6,0.92,365
ITA,DZA,90.7,0.5,100
ITA,OMN,103.7,1.05,100
ITA,QAT,100.6,0.5,205
ITA,MEX,97.1,0.59,100
ITA,NOR,95.4,0.57,413
ITA,BRA,101.3,1.04,100
ITA,IRN,96.5,0.5,100
ITA,LBY,96.9,0.67,100
ITA,GAB,105.8,0.71,100
ITA,ECU,101.7,0.94,322
ITA,COL,104.9,0.64,294
ITA,MYS,97.6,0.53,391
ITA,IDN,102.9,0.78,651
GBR,SAU,100.0,0.53,100
GBR,RUS,94.7,0.5,409
GBR,USA,97.3,0.68,100
GBR,IRQ,93.7,0.5,306
GBR,CAN,91.1,1.02,598
GBR,ARE,100.5,0.61,247
GBR,KWT,109.9,1.12,167
GBR,NGA,109.4,1.08,345
GBR,KAZ,109.5,0.71,697
GBR,VEN,103.4,1.14,546
GBR,AGO,100.7,0.68,100
GBR,DZA,105.4,0.5,100
GBR,OMN,104.2,0.5,231
GBR,QAT,94.8,0.5,100
GBR,MEX,105.4,0.5,593
GBR,NOR,93.1,0.67,100
GBR,BRA,91.0,0.52,100
GBR,IRN,101.0,0.75,597
GBR,LBY,96.4,1.0,100
GBR,GAB,92.8,0.5,476
GBR,ECU,101.9,0.68,118
GBR,COL,97.0,1.12,100
GBR,MYS,104.9,0.62,584
GBR,IDN,104.6,1.15,287
TWN,SAU,97.6,1.12,100
TWN,RUS,101.5,1.04,539
TWN,USA,106.6,0.96,527
TWN,IRQ,93.3,0.5,100
TWN,CAN,94.7,0.82,273
TWN,ARE,97.2,1.07,100
TWN,KWT,103.7,0.66,315
TWN,NGA,97.5,0.66,121
TWN,KAZ,100.8,0.64,692
TWN,VEN,94.6,1.09,202
TWN,AGO,100.6,0.5,100
TWN,DZA,102.5,0.5,345
TWN,OMN,96.7,0.92,253
TWN,QAT,92.8,0.98,368
TWN,MEX,99.9,0.94,622
TWN,NOR,105.8,0.5,100
TWN,BRA,104.1,0.99,100
TWN,IRN,90.7,0.75,221
TWN,LBY,99.9,0.95,100
TWN,GAB,106.4,0.5,100
TWN,ECU,99.1,0.8,100
TWN,COL,105.9,0.5,100
TWN,MYS,98.2,0.97,110
TWN,IDN,102.8,0.9,100
THA,SAU,260.8,1.12,659
THA,RUS,93.6,1.1,249
THA,USA,94.5,0.61,100
THA,IRQ,108.9,0.5,100
THA,CAN,92.8,0.5,692
THA,ARE,180.7,1.23,359
THA,KWT,92.0,1.1,100
THA,NGA,108.4,0.92,100
THA,KAZ,105.4,0.59,604
THA,VEN,98.5,0.93,100
THA,AGO,106.8,1.12,468
THA,DZA,92.3,1.17,321
THA,OMN,93.7,1.02,100
THA,QAT,107.4,0.73,635
THA,MEX,102.2,0.58,100
THA,NOR,96.7,1.0,100
THA,BRA,102.1,0.5,100
THA,IRN,100.7,1.12,100
THA,LBY,99.3,0.68,100
THA,GAB,99.0,0.5,575
THA,ECU,108.3,0.5,100
THA,COL,100.0,0.62,555
THA,MYS,96.2,0.97,361
THA,IDN,94.4,0.5,100
ZAF,SAU,93.6,1.15,388
ZAF,RUS,101.1,1.06,100
ZAF,USA,109.9,0.72,468
ZAF,IRQ,96.2,0.59,134
ZAF,CAN,94.2,1.09,100
ZAF,ARE,99.4,0.82,176
ZAF,KWT,99.4,0.76,100
ZAF,NGA,95.9,0.91,100
ZAF,KAZ,100.7,0.68,100
ZAF,VEN,101.2,0.5,596
ZAF,AGO,96.7,0.5,342
ZAF,DZA,97.5,0.5,577
ZAF,OMN,100.5,1.0,100
ZAF,QAT,93.1,0.9,100
ZAF,MEX,98.2,0.75,534
ZAF,NOR,94.6,0.86,100
ZAF,BRA,92.1,0.98,278
ZAF,IRN,107.7,0.77,100
ZAF,LBY,92.0,0.5,100
ZAF,GAB,102.1,1.01,611
ZAF,ECU,97.9,0.86,168
ZAF,COL,98.1,0.52,677
ZAF,MYS,90.3,0.5,100
