date,global_trade_volume_kbpd
2020-01-04,99801.2
2020-01-05,99654.8
2020-01-06,99836.8
2020-01-07,99685.4
2020-01-08,99618.5
2020-01-09,100057.2
2020-01-10,100074.7
2020-01-11,100172.7
2020-01-12,100400.1
2020-01-13,100551.6
2020-01-14,100633.0
2020-01-15,100756.2
2020-01-16,101286.9
2020-01-17,101323.3
2020-01-18,101410.4
2020-01-19,101666.8
2020-01-20,101933.2
2020-01-21,102214.9
2020-01-22,102385.3
2020-01-23,102196.3
2020-01-24,102564.3
2020-01-25,102371.8
2020-01-26,102469.5
2020-01-27,102353.1
2020-01-28,102374.3
2020-01-29,102473.3
2020-01-30,102569.5
2020-01-31,102684.6
2020-02-01,103038.8
2020-02-02,103157.7
2020-02-03,103134.5
2020-02-04,103353.7
2020-02-05,103617.1
2020-02-06,103391.1
2020-02-07,103532.2
2020-02-08,103692.8
2020-02-09,103650.3
2020-02-10,103944.4
2020-02-11,103928.8
2020-02-12,103967.5
2020-02-13,103944.3
2020-02-14,103957.8
2020-02-15,103745.0
2020-02-16,103461.3
2020-02-17,103789.6
2020-02-18,103622.9
2020-02-19,103425.4
2020-02-20,102991.4
2020-02-21,102862.3
2020-02-22,102593.4
2020-02-23,102922.6
2020-02-24,103122.6
2020-02-25,102977.7
2020-02-26,103426.0
2020-02-27,103615.9
2020-02-28,103540.1
2020-02-29,103023.3
2020-03-01,103473.5
2020-03-02,103178.2
2020-03-03,102830.0
2020-03-04,103019.4
2020-03-05,103493.6
2020-03-06,103753.0
2020-03-07,103845.3
2020-03-08,103942.4
2020-03-09,104090.2
2020-03-10,104217.4
2020-03-11,104246.9
2020-03-12,104239.2
2020-03-13,104196.6
2020-03-14,104013.2
2020-03-15,103923.9
2020-03-16,103549.0
2020-03-17,103493.9
2020-03-18,103258.4
2020-03-19,102998.6
2020-03-20,102995.8
2020-03-21,103235.4
2020-03-22,103378.4
2020-03-23,103019.9
2020-03-24,102777.2
2020-03-25,102920.8
2020-03-26,102677.3
2020-03-27,102584.7
2020-03-28,102646.2
2020-03-29,102402.3
2020-03-30,102372.4
2020-03-31,102053.4
2020-04-01,101880.0
2020-04-02,101889.9
2020-04-03,101516.4
2020-04-04,101548.3
2020-04-05,101487.2
2020-04-06,101539.2
2020-04-07,101524.6
2020-04-08,101736.1
2020-04-09,101699.6
2020-04-10,101551.9
2020-04-11,101513.0
2020-04-12,101556.8
2020-04-13,101501.4
2020-04-14,101443.5
2020-04-15,101237.4
2020-04-16,101038.4
2020-04-17,100692.3
2020-04-18,100969.7
2020-04-19,100653.8
2020-04-20,100446.4
2020-04-21,100233.4
2020-04-22,100338.4
2020-04-23,100207.7
2020-04-24,100380.6
2020-04-25,100174.0
2020-04-26,100154.5
2020-04-27,99915.2
2020-04-28,100261.3
2020-04-29,99951.8
2020-04-30,99935.9
2020-05-01,99983.0
2020-05-02,99986.3
2020-05-03,99871.7
2020-05-04,99767.6
2020-05-05,99697.1
2020-05-06,99589.0
2020-05-07,99697.3
2020-05-08,100048.1
2020-05-09,99858.6
2020-05-10,99510.9
2020-05-11,99412.6
2020-05-12,99832.6
2020-05-13,99594.6
2020-05-14,99830.6
2020-05-15,100073.5
2020-05-16,99883.5
2020-05-17,99910.8
2020-05-18,100142.7
